wpPostId,title,slug,url,parentId,mimeType,width,height,attachedFile
261,w_TierraCampos,w_tierracampos,https://editoriallarueca.com/wp-content/uploads/w_TierraCampos-1.jpg,,image/jpeg,1417,2131,w_TierraCampos-1.jpg
262,w_Kalifornia,w_kalifornia-2,https://editoriallarueca.com/wp-content/uploads/w_Kalifornia-1.jpg,,image/jpeg,1417,2183,w_Kalifornia-1.jpg
263,w_TierraCampos,w_tierracampos-2,https://editoriallarueca.com/wp-content/uploads/w_TierraCampos-2.jpg,,image/jpeg,1417,2131,w_TierraCampos-2.jpg
264,2w_TierraCampos,2w_tierracampos,https://editoriallarueca.com/wp-content/uploads/2w_TierraCampos.jpg,,image/jpeg,1417,2131,2w_TierraCampos.jpg
265,2w_TierraCampos,2w_tierracampos-2,https://editoriallarueca.com/wp-content/uploads/2w_TierraCampos-1.jpg,,image/jpeg,1417,2131,2w_TierraCampos-1.jpg
266,3w_TierraCampos,3w_tierracampos,https://editoriallarueca.com/wp-content/uploads/3w_TierraCampos.jpg,,image/jpeg,1417,2131,3w_TierraCampos.jpg
267,2w_YoTeAcuso,2w_yoteacuso,https://editoriallarueca.com/wp-content/uploads/2w_YoTeAcuso.jpg,,image/jpeg,1779,2560,2w_YoTeAcuso-scaled.jpg
268,w_3Pasadena,w_3pasadena,https://editoriallarueca.com/wp-content/uploads/w_3Pasadena.jpg,,image/jpeg,1417,2185,w_3Pasadena.jpg
269,2W_Kalifornia,2w_kalifornia,https://editoriallarueca.com/wp-content/uploads/2W_Kalifornia.jpg,,image/jpeg,1417,1984,2W_Kalifornia.jpg
270,2w_nefertiti,2w_nefertiti,https://editoriallarueca.com/wp-content/uploads/2w_nefertiti.jpg,,image/jpeg,1417,1946,2w_nefertiti.jpg
272,w_TierraCamposNueva,w_tierracamposnueva,https://editoriallarueca.com/wp-content/uploads/w_TierraCamposNueva.tif,,,,,w_TierraCamposNueva.tif
273,w_TierraCamposNueva,w_tierracamposnueva-2,https://editoriallarueca.com/wp-content/uploads/w_TierraCamposNueva.jpg,,image/jpeg,1417,2150,w_TierraCamposNueva.jpg
275,W_1435,w_1435,https://editoriallarueca.com/wp-content/uploads/W_1435.tif,,,,,W_1435.tif
276,W_1435,w_1435-2,https://editoriallarueca.com/wp-content/uploads/W_1435.jpg,,image/jpeg,1417,1984,W_1435.jpg
278,W_1435,w_1435-3,https://editoriallarueca.com/wp-content/uploads/W_1435-1.jpg,,image/jpeg,1417,1984,W_1435-1.jpg
279,w_ElAzulMar,w_elazulmar,https://editoriallarueca.com/wp-content/uploads/w_ElAzulMar.jpg,,image/jpeg,1417,1984,w_ElAzulMar.jpg
280,W_1435,w_1435-4,https://editoriallarueca.com/wp-content/uploads/W_1435-2.jpg,,image/jpeg,1417,1984,W_1435-2.jpg
281,W_1435,w_1435-5,https://editoriallarueca.com/wp-content/uploads/W_1435-3.jpg,,image/jpeg,1417,1984,W_1435-3.jpg
283,w_Luna2ed,w_luna2ed,https://editoriallarueca.com/wp-content/uploads/w_Luna2ed.jpg,,image/jpeg,1417,2116,w_Luna2ed.jpg
284,w_Luna2ed,w_luna2ed-2,https://editoriallarueca.com/wp-content/uploads/w_Luna2ed-1.jpg,,image/jpeg,1417,2116,w_Luna2ed-1.jpg
285,2w_redesSociales_Rene,2w_redessociales_rene,https://editoriallarueca.com/wp-content/uploads/2w_redesSociales_Rene.jpg,,image/jpeg,1813,2560,2w_redesSociales_Rene-scaled.jpg
286,2w_redesSociales_Rene,2w_redessociales_rene-2,https://editoriallarueca.com/wp-content/uploads/2w_redesSociales_Rene-1.jpg,,image/jpeg,613,866,2w_redesSociales_Rene-1.jpg
290,w_arqueologia,w_arqueologia,https://editoriallarueca.com/wp-content/uploads/w_arqueologia.jpg,,image/jpeg,1417,2079,w_arqueologia.jpg
292,w_Cub_Sexualidad,w_cub_sexualidad,https://editoriallarueca.com/wp-content/uploads/w_Cub_Sexualidad.jpg,,image/jpeg,1751,2560,w_Cub_Sexualidad-scaled.jpg
294,w_DileAMama,w_dileamama,https://editoriallarueca.com/wp-content/uploads/w_DileAMama.jpg,,image/jpeg,1846,2560,w_DileAMama-scaled.jpg
297,w_1435OK,w_1435ok,https://editoriallarueca.com/wp-content/uploads/w_1435OK-1.jpg,,image/jpeg,1846,2560,w_1435OK-1-scaled.jpg
300,w_Redoble,w_redoble,https://editoriallarueca.com/wp-content/uploads/w_Redoble.jpg,,image/jpeg,1417,1948,w_Redoble.jpg
301,w_Redoble,w_redoble-2,https://editoriallarueca.com/wp-content/uploads/w_Redoble-1.jpg,,image/jpeg,1417,1948,w_Redoble-1.jpg
307,w_dance,w_dance,https://editoriallarueca.com/wp-content/uploads/w_dance.jpg,,image/jpeg,1417,1984,w_dance.jpg
309,w_Encuentros,w_encuentros,https://editoriallarueca.com/wp-content/uploads/w_Encuentros.jpg,,image/jpeg,482,680,w_Encuentros.jpg
312,w_Salvaje,w_salvaje,https://editoriallarueca.com/wp-content/uploads/w_Salvaje.jpg,,image/jpeg,1417,2077,w_Salvaje.jpg
313,w_Salvaje,w_salvaje-2,https://editoriallarueca.com/wp-content/uploads/w_Salvaje.tif,,,,,w_Salvaje.tif
314,w_Salvaje,w_salvaje-3,https://editoriallarueca.com/wp-content/uploads/w_Salvaje-1.tif,,,,,w_Salvaje-1.tif
315,w_Salvaje,w_salvaje-4,https://editoriallarueca.com/wp-content/uploads/w_Salvaje-2.tif,,,,,w_Salvaje-2.tif
316,w_SalvajeOK,w_salvajeok,https://editoriallarueca.com/wp-content/uploads/w_SalvajeOK.jpg,,image/jpeg,1417,1995,w_SalvajeOK.jpg
318,RSS_Portada,rss_portada,https://editoriallarueca.com/wp-content/uploads/W_JChamCri.jpg,,image/jpeg,1824,2560,W_JChamCri-scaled.jpg
320,w_cub_Luna3ed,w_cub_luna3ed,https://editoriallarueca.com/wp-content/uploads/w_cub_Luna3ed.jpg,,image/jpeg,1713,2560,w_cub_Luna3ed-scaled.jpg
