groupId,classification,canonicalAuthorId,authorId,name,slug,normalizedName,slugBase,bookCount,isPublished,isFeatured,isArchived,hasPhoto,hasBiography,conflicts
author-duplicate-009,LIKELY_DUPLICATE,a87b9700-5ec6-45e4-bf2b-b8aa2328e118,6f1f69a3-1534-41fa-83ba-8ded83e9be3c,Carlos José Olmedo Batista,carlos-jose-olmedo-batista-2,carlos jose olmedo batista,carlos-jose-olmedo-batista,1,true,false,false,true,false,photoUrl
author-duplicate-010,LIKELY_DUPLICATE,e132c0b1-5a6e-4d1f-b0c1-2aba31005e49,e132c0b1-5a6e-4d1f-b0c1-2aba31005e49,Diego Gómez-Costa,diego-gomez-costa,diego gomez costa,diego-gomez-costa,1,true,false,false,true,false,photoUrl
author-duplicate-010,LIKELY_DUPLICATE,e132c0b1-5a6e-4d1f-b0c1-2aba31005e49,72ef42d9-6289-43c4-8daf-46905820f074,Diego Gómez-Costa,diego-gomez-costa-2,diego gomez costa,diego-gomez-costa,1,true,false,false,true,false,photoUrl
author-duplicate-010,LIKELY_DUPLICATE,e132c0b1-5a6e-4d1f-b0c1-2aba31005e49,4e026da7-f7c6-442c-b657-9b270a702cee,Diego Gómez-Costa,diego-gomez-costa-3,diego gomez costa,diego-gomez-costa,1,true,false,false,true,false,photoUrl
author-duplicate-010,LIKELY_DUPLICATE,e132c0b1-5a6e-4d1f-b0c1-2aba31005e49,d5400984-fb1b-4b86-9613-937444cf02a0,Diego Gómez-Costa,diego-gomez-costa-4,diego gomez costa,diego-gomez-costa,0,true,false,false,true,true,photoUrl
author-duplicate-011,LIKELY_DUPLICATE,9e55c5da-3e70-4660-981a-2d13d09f526d,9e55c5da-3e70-4660-981a-2d13d09f526d,ELGA REÁTEGUI,elga-reategui,elga reategui,elga-reategui,1,true,false,false,true,false,photoUrl
author-duplicate-011,LIKELY_DUPLICATE,9e55c5da-3e70-4660-981a-2d13d09f526d,27d2a262-938a-4e74-a751-deb81d4c490e,Elga Reátegui,elga-reategui-2,elga reategui,elga-reategui,1,true,false,false,true,false,photoUrl
author-duplicate-012,LIKELY_DUPLICATE,2a28f79f-5610-4876-be14-81eccb1fa5c7,2a28f79f-5610-4876-be14-81eccb1fa5c7,Francisco Marín Vargas,francisco-marin-vargas,francisco marin vargas,francisco-marin-vargas,1,true,false,false,true,false,photoUrl
author-duplicate-012,LIKELY_DUPLICATE,2a28f79f-5610-4876-be14-81eccb1fa5c7,b98b786c-6a77-40e5-85ff-3ce4f0efc42a,Francisco Marín Vargas,francisco-marin-vargas-2,francisco marin vargas,francisco-marin-vargas,1,true,false,false,true,false,photoUrl
author-duplicate-012,LIKELY_DUPLICATE,2a28f79f-5610-4876-be14-81eccb1fa5c7,22391a10-129e-4e5a-ae2f-c02c2dbc213b,Francisco Marín Vargas,francisco-marin-vargas-3,francisco marin vargas,francisco-marin-vargas,1,true,false,false,true,false,photoUrl
author-duplicate-012,LIKELY_DUPLICATE,2a28f79f-5610-4876-be14-81eccb1fa5c7,d1c2428e-1e82-402c-be0b-1b6ffd7a8645,Francisco Marín Vargas,francisco-marin-vargas-4,francisco marin vargas,francisco-marin-vargas,1,true,false,false,true,false,photoUrl
author-duplicate-012,LIKELY_DUPLICATE,2a28f79f-5610-4876-be14-81eccb1fa5c7,3952fad3-4cea-4cf4-b41a-d098e1bd590b,Francisco Marín Vargas,francisco-marin-vargas-5,francisco marin vargas,francisco-marin-vargas,1,true,false,false,true,false,photoUrl
author-duplicate-012,LIKELY_DUPLICATE,2a28f79f-5610-4876-be14-81eccb1fa5c7,4d820dff-f595-49e6-a06f-e847f9c6041f,Francisco Marín Vargas,francisco-marin-vargas-6,francisco marin vargas,francisco-marin-vargas,1,true,false,false,true,false,photoUrl
author-duplicate-013,LIKELY_DUPLICATE,e04b8ed7-627a-4460-967f-24ad36765075,e04b8ed7-627a-4460-967f-24ad36765075,GASPAR T. JIMENO DIESTRO,gaspar-t-jimeno-diestro,gaspar t jimeno diestro,gaspar-t-jimeno-diestro,1,true,false,false,true,false,photoUrl
author-duplicate-013,LIKELY_DUPLICATE,e04b8ed7-627a-4460-967f-24ad36765075,3c1ed264-0158-47a0-be49-ca0cd423fc0b,Gaspar T. Jimeno Diestro,gaspar-t-jimeno-diestro-2,gaspar t jimeno diestro,gaspar-t-jimeno-diestro,0,true,false,false,true,true,photoUrl
author-duplicate-014,LIKELY_DUPLICATE,86d71b66-740f-4712-b87e-7a61e05acc38,86d71b66-740f-4712-b87e-7a61e05acc38,Guillermo M. Schrem,guillermo-m-schrem,guillermo m schrem,guillermo-m-schrem,1,true,false,false,false,false,photoUrl|biography
author-duplicate-014,LIKELY_DUPLICATE,86d71b66-740f-4712-b87e-7a61e05acc38,d78841ec-5181-444a-950a-a9d78cf63d85,Guillermo M. Schrem,guillermo-m-schrem-2,guillermo m schrem,guillermo-m-schrem,1,true,false,false,true,false,photoUrl|biography
author-duplicate-014,LIKELY_DUPLICATE,86d71b66-740f-4712-b87e-7a61e05acc38,84fbe027-ccd1-431e-9fa9-2d2abc255f3d,Guillermo M. Schrem,guillermo-m-schrem-3,guillermo m schrem,guillermo-m-schrem,1,true,false,false,true,false,photoUrl|biography
author-duplicate-014,LIKELY_DUPLICATE,86d71b66-740f-4712-b87e-7a61e05acc38,14430727-5eaa-4f37-beec-e7eaa4bd3687,Guillermo M. Schrem,guillermo-m-schrem-4,guillermo m schrem,guillermo-m-schrem,1,true,false,false,true,false,photoUrl|biography
author-duplicate-014,LIKELY_DUPLICATE,86d71b66-740f-4712-b87e-7a61e05acc38,30216d1f-08bb-4fd9-a285-36d3e87e891a,Guillermo M. Schrem,guillermo-m-schrem-5,guillermo m schrem,guillermo-m-schrem,1,true,false,false,true,false,photoUrl|biography
author-duplicate-014,LIKELY_DUPLICATE,86d71b66-740f-4712-b87e-7a61e05acc38,2a6813aa-baf8-492b-b18c-83e49c18eb64,Guillermo M. Schrem,guillermo-m-schrem-6,guillermo m schrem,guillermo-m-schrem,1,true,false,false,true,false,photoUrl|biography
author-duplicate-014,LIKELY_DUPLICATE,86d71b66-740f-4712-b87e-7a61e05acc38,ffbf5717-ff63-456a-930a-61c80ff84ec7,Guillermo M. Schrem,guillermo-m-schrem-7,guillermo m schrem,guillermo-m-schrem,0,true,false,false,true,true,photoUrl|biography
author-duplicate-014,LIKELY_DUPLICATE,86d71b66-740f-4712-b87e-7a61e05acc38,7c99f6ff-4bd9-431c-9ab0-0b081d165a8e,Guillermo M. Schrem,guillermo-m-schrem-8,guillermo m schrem,guillermo-m-schrem,0,true,false,false,false,true,photoUrl|biography
author-duplicate-014,LIKELY_DUPLICATE,86d71b66-740f-4712-b87e-7a61e05acc38,ba02d2c3-2cc2-4f81-97aa-36b0e977cb20,Guillermo M. Schrem,guillermo-m-schrem-9,guillermo m schrem,guillermo-m-schrem,0,true,false,false,true,true,photoUrl|biography
author-duplicate-015,LIKELY_DUPLICATE,5c3852a7-6573-4db4-8305-f4857e0f4637,5c3852a7-6573-4db4-8305-f4857e0f4637,Guillermo Martínez Schrem,guillermo-martinez-schrem,guillermo martinez schrem,guillermo-martinez-schrem,1,true,false,false,true,false,photoUrl
author-duplicate-015,LIKELY_DUPLICATE,5c3852a7-6573-4db4-8305-f4857e0f4637,722e3bbb-b84e-41d2-9ed9-bd3504045c04,Guillermo Martínez Schrem,guillermo-martinez-schrem-2,guillermo martinez schrem,guillermo-martinez-schrem,1,true,false,false,true,false,photoUrl
author-duplicate-015,LIKELY_DUPLICATE,5c3852a7-6573-4db4-8305-f4857e0f4637,438c96f0-1096-4403-8dae-2ac45fefba54,Guillermo Martínez Schrem,guillermo-martinez-schrem-3,guillermo martinez schrem,guillermo-martinez-schrem,1,true,false,false,true,false,photoUrl
author-duplicate-016,LIKELY_DUPLICATE,569edd2b-c4d2-40a9-b812-a0fd0f9598e2,569edd2b-c4d2-40a9-b812-a0fd0f9598e2,Ignacio Luis de Orduña Puebla,ignacio-luis-de-orduna-puebla,ignacio luis de orduna puebla,ignacio-luis-de-orduna-puebla,1,true,false,false,true,false,photoUrl
author-duplicate-016,LIKELY_DUPLICATE,569edd2b-c4d2-40a9-b812-a0fd0f9598e2,fe3d31c4-3593-4040-ab04-ee8abbcee288,Ignacio Luis de Orduña Puebla,ignacio-luis-de-orduna-puebla-2,ignacio luis de orduna puebla,ignacio-luis-de-orduna-puebla,1,true,false,false,true,false,photoUrl
author-duplicate-017,LIKELY_DUPLICATE,c790d190-b896-4275-89be-89d7f55ff989,c790d190-b896-4275-89be-89d7f55ff989,José Antonio Galante Pérez,jose-antonio-galante-perez,jose antonio galante perez,jose-antonio-galante-perez,1,true,false,false,true,false,photoUrl
author-duplicate-017,LIKELY_DUPLICATE,c790d190-b896-4275-89be-89d7f55ff989,45e07b93-cecb-41ff-b87f-e40f7724770e,Jose Antonio Galante Pérez,jose-antonio-galante-perez-2,jose antonio galante perez,jose-antonio-galante-perez,1,true,false,false,true,false,photoUrl
author-duplicate-017,LIKELY_DUPLICATE,c790d190-b896-4275-89be-89d7f55ff989,d3f34b1f-fef0-46ab-934d-3d1d7535cf89,José Antonio Galante Pérez,jose-antonio-galante-perez-3,jose antonio galante perez,jose-antonio-galante-perez,1,true,false,false,true,false,photoUrl
author-duplicate-017,LIKELY_DUPLICATE,c790d190-b896-4275-89be-89d7f55ff989,5ecffe2a-e1ac-4090-a650-7d421aa1ad9f,José Antonio Galante Pérez,jose-antonio-galante-perez-4,jose antonio galante perez,jose-antonio-galante-perez,0,true,false,false,false,true,photoUrl
author-duplicate-018,MANUAL_REVIEW,404c547b-3bbf-467b-88d3-de6ed2abef9f,404c547b-3bbf-467b-88d3-de6ed2abef9f,José Vte. Carmona Simarro,jose-vte-carmona-simarro,jose vte carmona simarro,jose-vte-carmona-simarro,1,true,false,false,true,false,photoUrl|biography
author-duplicate-018,MANUAL_REVIEW,404c547b-3bbf-467b-88d3-de6ed2abef9f,3d548b55-cc98-4891-8d04-4597cca2afa9,José Vte. Carmona Simarro,jose-vte-carmona-simarro-2,jose vte carmona simarro,jose-vte-carmona-simarro,1,true,false,false,true,false,photoUrl|biography
author-duplicate-018,MANUAL_REVIEW,404c547b-3bbf-467b-88d3-de6ed2abef9f,432d5ffa-5755-45bf-8b38-fbd0a5cd9535,José Vte. Carmona Simarro,jose-vte-carmona-simarro-3,jose vte carmona simarro,jose-vte-carmona-simarro,0,true,false,false,true,true,photoUrl|biography
author-duplicate-018,MANUAL_REVIEW,404c547b-3bbf-467b-88d3-de6ed2abef9f,99deb473-177c-463d-8a52-bde8f1482651,José Vte. Carmona Simarro,jose-vte-carmona-simarro-4,jose vte carmona simarro,jose-vte-carmona-simarro,0,true,false,false,false,true,photoUrl|biography
author-duplicate-018,MANUAL_REVIEW,404c547b-3bbf-467b-88d3-de6ed2abef9f,c321aa38-cc93-4fe8-a1d8-5866afb00259,José Vte. Carmona Simarro,jose-vte-carmona-simarro-editorial-la-rueca,jose vte carmona simarro,jose-vte-carmona-simarro-editorial-la-rueca,1,true,false,false,true,false,photoUrl|biography
