candidateKey,sourceWpPostId,title,author,proposedDecision,adjudicationDecision,confidence,winnerUrl,winnerFilename,positiveCoverScore,negativeAuthorScore,finalScore,winnerGap,selectedImageUrl,selectedImageFilename,selectionSource,explanation
"book:el rumor de la marea","1029","El rumor de la marea","Guillermo M. Schrem","approved","safe_book_cover","high","https://editoriallarueca.com/wp-content/uploads/w_RumordelaMareaPortada.jpg","w_RumordelaMareaPortada.jpg","110","0","110","35","https://editoriallarueca.com/wp-content/uploads/w_RumordelaMareaPortada.jpg","w_RumordelaMareaPortada.jpg","algorithm","positiveCoverScore 110 >= 75 | negativeAuthorScore 0 < 45 | winnerGap 35 >= 25"
"book:el valle de cristal","556","El Valle de Cristal","Guillermo M. Schrem","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/Imagen7778.jpg","Imagen7778-scaled.jpg","75","0","75","0","https://editoriallarueca.com/wp-content/uploads/Imagen7778.jpg","Imagen7778-scaled.jpg","none","Diferencia frente a la segunda candidata insuficiente."
"book:el viaje aventurero de nico","1034","El viaje aventurero de Nico","Niklas Höfinger","approved","safe_book_cover","high","https://editoriallarueca.com/wp-content/uploads/w_NicosPortada.jpg","w_NicosPortada.jpg","83","0","83","65","https://editoriallarueca.com/wp-content/uploads/w_NicosPortada.jpg","w_NicosPortada.jpg","algorithm","positiveCoverScore 83 >= 75 | negativeAuthorScore 0 < 45 | winnerGap 65 >= 25"
"book:en la recta final","1088","En la recta final","Alfredo Manrique Bravo","approved","safe_book_cover","high","https://editoriallarueca.com/wp-content/uploads/w_RectaFinalPortada.jpg","w_RectaFinalPortada.jpg","110","0","110","35","https://editoriallarueca.com/wp-content/uploads/w_RectaFinalPortada.jpg","w_RectaFinalPortada.jpg","algorithm","positiveCoverScore 110 >= 75 | negativeAuthorScore 0 < 45 | winnerGap 35 >= 25"
"book:encuentros campezanos","957","Encuentros Campezanos","José Antonio Rodrigo Alonso","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/fondo-contacto-trans.png","fondo-contacto-trans.png","22","0","22","4","https://editoriallarueca.com/wp-content/uploads/fondo-contacto-trans.png","fondo-contacto-trans.png","none","positiveCoverScore insuficiente. | Diferencia frente a la segunda candidata insuficiente."
"book:entre realidades y suenos","1007","Entre realidades y sueños","Benedicto Cuervo Álvarez","approved","safe_book_cover","high","https://editoriallarueca.com/wp-content/uploads/w_EntreRealidadesPortada.jpg","w_EntreRealidadesPortada.jpg","91","0","91","65","https://editoriallarueca.com/wp-content/uploads/w_EntreRealidadesPortada.jpg","w_EntreRealidadesPortada.jpg","algorithm","positiveCoverScore 91 >= 75 | negativeAuthorScore 0 < 45 | winnerGap 65 >= 25"
"book:estampas de un pueblo andaluz 1960 1974","885","Estampas de un pueblo andaluz (1960-1974) ","Jesús Ezequiel Pérez Dorado","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/w_QueCosasPortada.jpg","w_QueCosasPortada.jpg","75","0","75","0","https://editoriallarueca.com/wp-content/uploads/w_QueCosasPortada.jpg","w_QueCosasPortada.jpg","none","Diferencia frente a la segunda candidata insuficiente."
"book:estrategias educativas a traves del teatro musical experiencias y propuesta metodologica del taller de musicales volumen 1 seleccion de titulos para el aula analisis cinematografico y escenico","1526","ESTRATEGIAS EDUCATIVAS A TRAVÉS DEL TEATRO MUSICAL - Experiencias y propuesta metodológica del “Taller de Musicales” Volumen 1 Selección de títulos para el aula: Análisis cinematográfico y escénico.","Sara Sánchez Prieto","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/w_fotoSara.jpg","w_fotoSara.jpg","50","225","-175","-175","https://editoriallarueca.com/wp-content/uploads/w_fotoSara.jpg","w_fotoSara.jpg","none","positiveCoverScore insuficiente. | negativeAuthorScore demasiado alto. | Diferencia frente a la segunda candidata insuficiente. | Existen senales contradictorias graves de foto de autor."
"book:evocacion y sucesos de dolores la tuerta una historia del mundo rural","1821","Evocación y sucesos de Dolores la Tuerta (Una historia del mundo rural)","José Herruzo Orejuela","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/w_portadaDoloresTuerta.jpg","w_portadaDoloresTuerta.jpg","91","0","91","23","https://editoriallarueca.com/wp-content/uploads/w_portadaDoloresTuerta.jpg","w_portadaDoloresTuerta.jpg","none","Diferencia frente a la segunda candidata insuficiente."
"book:falsas esperanzas","1012","Falsas esperanzas","Miguel Ángel Güemes Pérez","approved","safe_book_cover","high","https://editoriallarueca.com/wp-content/uploads/portada-libro.jpg","portada-libro.jpg","87","0","87","47","https://editoriallarueca.com/wp-content/uploads/portada-libro.jpg","portada-libro.jpg","algorithm","positiveCoverScore 87 >= 75 | negativeAuthorScore 0 < 45 | winnerGap 47 >= 25"
